City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lompoc,US,2020-04-20 01:37:18,34.64,-120.46,59.0,67,90,12.75
1,Bathsheba,BB,2020-04-20 01:37:18,13.22,-59.52,80.6,69,20,17.22
2,Kahului,US,2020-04-20 01:37:18,20.89,-156.47,82.4,51,40,12.75
3,Tuktoyaktuk,CA,2020-04-20 01:37:19,69.45,-133.04,10.4,85,90,9.17
4,Busselton,AU,2020-04-20 01:37:19,-33.65,115.33,69.01,42,95,22.88
5,Mahebourg,MU,2020-04-20 01:37:19,-20.41,57.7,77.0,83,75,12.75
6,Barrow,US,2020-04-20 01:37:19,71.29,-156.79,12.2,78,90,6.93
7,Vaini,TO,2020-04-20 01:37:19,-21.2,-175.2,84.2,74,20,11.41
8,Morros,BR,2020-04-20 01:37:19,-9.45,-46.3,72.45,80,87,4.61
9,Vestmannaeyjar,IS,2020-04-20 01:37:20,63.44,-20.27,46.22,94,100,27.13
10,Lewisporte,CA,2020-04-20 01:37:20,49.25,-55.05,30.2,92,90,26.4
11,Port Alfred,ZA,2020-04-20 01:37:20,-33.59,26.89,69.01,70,0,4.0
12,Rikitea,PF,2020-04-20 01:37:20,-23.12,-134.97,76.84,71,93,6.76
13,Villa Maria,AR,2020-04-20 01:37:20,-32.41,-63.24,61.0,78,0,1.01
14,Puntarenas,CR,2020-04-20 01:34:42,9.98,-84.84,73.99,100,75,3.36
15,Hithadhoo,MV,2020-04-20 01:37:21,-0.6,73.08,84.88,76,100,11.5
16,Willowmore,ZA,2020-04-20 01:37:21,-33.29,23.49,63.75,22,0,4.43
17,Hobyo,SO,2020-04-20 01:37:21,5.35,48.53,84.11,74,100,7.49
18,Saint-Philippe,RE,2020-04-20 01:37:21,-21.36,55.77,73.4,78,20,12.75
19,Yellowknife,CA,2020-04-20 01:36:22,62.46,-114.35,24.8,58,40,21.92
20,Bambanglipuro,ID,2020-04-20 01:37:21,-7.95,110.28,86.45,66,83,1.25
21,Saint George,US,2020-04-20 01:35:02,37.1,-113.58,73.4,25,40,11.41
22,Angoche,MZ,2020-04-20 01:37:22,-16.23,39.91,74.35,88,34,9.82
23,Saskylakh,RU,2020-04-20 01:37:22,71.92,114.08,22.86,95,17,2.73
24,Korla,CN,2020-04-20 01:37:22,41.76,86.15,63.23,22,85,2.28
25,Hilo,US,2020-04-20 01:37:22,19.73,-155.09,80.6,51,1,12.75
26,Hermanus,ZA,2020-04-20 01:37:23,-34.42,19.23,61.0,95,9,12.01
27,Bonthe,SL,2020-04-20 01:37:23,7.53,-12.51,81.01,82,100,6.67
28,Miraflores,MX,2020-04-20 01:37:23,19.22,-98.81,75.2,44,90,8.05
29,Port Elizabeth,ZA,2020-04-20 01:35:25,-33.92,25.57,75.2,38,0,16.11
30,Deer Lake,CA,2020-04-20 01:37:23,49.17,-57.43,30.2,92,90,12.75
31,Ostrovnoy,RU,2020-04-20 01:35:28,68.05,39.51,24.48,97,46,6.55
32,Torbay,CA,2020-04-20 01:35:15,47.67,-52.73,36.0,100,90,26.4
33,Ushuaia,AR,2020-04-20 01:32:45,-54.8,-68.3,41.0,80,40,27.51
34,Cape Town,ZA,2020-04-20 01:34:08,-33.93,18.42,62.01,82,75,18.34
35,Emerald,AU,2020-04-20 01:37:24,-23.53,148.17,82.4,30,14,6.93
36,Aklavik,CA,2020-04-20 01:37:24,68.22,-135.01,23.0,53,90,3.36
37,Nanortalik,GL,2020-04-20 01:37:25,60.14,-45.24,27.81,86,17,6.93
